Clan,Escudo,Puesto,Nombre,Trofeos,Donaciones,Rol;
ＳＴＡＲ✨ＥＬＩＴＥ,https://statsroyale.com/images/badges/16000040.png,#38,Klaus™,6316,0,Veterano;
ＳＴＡＲ✨ＥＬＩＴＥ,https://statsroyale.com/images/badges/16000040.png,#39,#Maroo,6309,76,Veterano;
ＳＴＡＲ✨ＥＬＩＴＥ,https://statsroyale.com/images/badges/16000040.png,#40,ANONYMUS? ™,6289,10,Colíder;
ＳＴＡＲ✨ＥＬＩＴＥ,https://statsroyale.com/images/badges/16000040.png,#41,AzizQ8,6283,20,Colíder;
ＳＴＡＲ✨ＥＬＩＴＥ,https://statsroyale.com/images/badges/16000040.png,#42,Hassan,6272,50,Colíder;
ＳＴＡＲ✨ＥＬＩＴＥ,https://statsroyale.com/images/badges/16000040.png,#43,Iñigo,6226,8,Veterano;
ＳＴＡＲ✨ＥＬＩＴＥ,https://statsroyale.com/images/badges/16000040.png,#44,The Fall,6105,7,Colíder;
ＳＴＡＲ✨ＥＬＩＴＥ,https://statsroyale.com/images/badges/16000040.png,#45,TheBosSq8,6086,0,Colíder;
ＳＴＡＲ✨ＥＬＩＴＥ,https://statsroyale.com/images/badges/16000040.png,#46,◇●☆SAIVERGON☆●◇,6024,0,Colíder;
ＳＴＡＲ✨ＥＬＩＴＥ,https://statsroyale.com/images/badges/16000040.png,#47,Joker Jr,5969,0,Colíder;
ＳＴＡＲ✨ＥＬＩＴＥ,https://statsroyale.com/images/badges/16000040.png,#48,Youtube Mhero1,5885,20,Colíder;
ＳＴＡＲ✨ＥＬＩＴＥ,https://statsroyale.com/images/badges/16000040.png,#49,☠️BATMAN☠️,5834,10,Colíder;
ＳＴＡＲ✨ＥＬＩＴＥ,https://statsroyale.com/images/badges/16000040.png,#50,MAURICIO M,5809,10,Colíder;
GulfNation™,https://statsroyale.com/images/clanwars/16000043_magical.png,#1,mansoor,6811,18,Colíder;
GulfNation™,https://statsroyale.com/images/clanwars/16000043_magical.png,#2,COMMANDER,6625,30,Colíder;
GulfNation™,https://statsroyale.com/images/clanwars/16000043_magical.png,#3,RED LucDubs,6620,0,Colíder;
GulfNation™,https://statsroyale.com/images/clanwars/16000043_magical.png,#4,HADI,6608,0,Veterano;
GulfNation™,https://statsroyale.com/images/clanwars/16000043_magical.png,#5,Gustavo,6513,0,Veterano;
GulfNation™,https://statsroyale.com/images/clanwars/16000043_magical.png,#6,Rekkles,6451,0,Miembro;
GulfNation™,https://statsroyale.com/images/clanwars/16000043_magical.png,#7,The Master,6413,0,Veterano;
GulfNation™,https://statsroyale.com/images/clanwars/16000043_magical.png,#8,aLahbabi,6360,18,Líder;
GulfNation™,https://statsroyale.com/images/clanwars/16000043_magical.png,#9,COMMANDER,6323,10,Veterano;
GulfNation™,https://statsroyale.com/images/clanwars/16000043_magical.png,#10,Licht70,6318,48,Miembro;
GulfNation™,https://statsroyale.com/images/clanwars/16000043_magical.png,#11,JeffreyLoayza,6311,84,Colíder;
GulfNation™,https://statsroyale.com/images/clanwars/16000043_magical.png,#12,CRiMiNAL,6305,0,Veterano;
GulfNation™,https://statsroyale.com/images/clanwars/16000043_magical.png,#13,keito,6283,54,Miembro;
GulfNation™,https://statsroyale.com/images/clanwars/16000043_magical.png,#14,سداح,6264,10,Colíder;
GulfNation™,https://statsroyale.com/images/clanwars/16000043_magical.png,#15,soul uae,6261,0,Colíder;
GulfNation™,https://statsroyale.com/images/clanwars/16000043_magical.png,#16,SF I Eduardo✌️,6239,0,Veterano;
GulfNation™,https://statsroyale.com/images/clanwars/16000043_magical.png,#17,SMOKE,6209,0,Veterano;
GulfNation™,https://statsroyale.com/images/clanwars/16000043_magical.png,#18,✨♊Rayio♊✨,6192,0,Colíder;
GulfNation™,https://statsroyale.com/images/clanwars/16000043_magical.png,#19,Albayrak,6178,0,Colíder;
GulfNation™,https://statsroyale.com/images/clanwars/16000043_magical.png,#20,Abdullah,6144,0,Colíder;
GulfNation™,https://statsroyale.com/images/clanwars/16000043_magical.png,#21,Nova I Gunter1™,6125,0,Miembro;
GulfNation™,https://statsroyale.com/images/clanwars/16000043_magical.png,#22,HPMS,6124,0,Miembro;
GulfNation™,https://statsroyale.com/images/clanwars/16000043_magical.png,#23,dareadevil,6123,8,Miembro;
GulfNation™,https://statsroyale.com/images/clanwars/16000043_magical.png,#24,Alberto Sánchez,6115,10,Miembro;
GulfNation™,https://statsroyale.com/images/clanwars/16000043_magical.png,#25,BoS3ood,6101,0,Veterano;
GulfNation™,https://statsroyale.com/images/clanwars/16000043_magical.png,#26,Cevasthiam,6037,10,Miembro;
GulfNation™,https://statsroyale.com/images/clanwars/16000043_magical.png,#27,Omar BXB,6015,20,Veterano;
GulfNation™,https://statsroyale.com/images/clanwars/16000043_magical.png,#28,Revolution,6009,0,Miembro;
GulfNation™,https://statsroyale.com/images/clanwars/16000043_magical.png,#29,Alejandro SC,5966,0,Miembro;
GulfNation™,https://statsroyale.com/images/clanwars/16000043_magical.png,#30,War Machine,5904,0,Colíder;
GulfNation™,https://statsroyale.com/images/clanwars/16000043_magical.png,#31,Gustav0,5881,0,Miembro;
GulfNation™,https://statsroyale.com/images/clanwars/16000043_magical.png,#32,Lord Fercho,5853,0,Veterano;
GulfNation™,https://statsroyale.com/images/clanwars/16000043_magical.png,#33,hero,5817,30,Miembro;
GulfNation™,https://statsroyale.com/images/clanwars/16000043_magical.png,#34,MR. INCREDIBLE,5816,8,Miembro;
GulfNation™,https://statsroyale.com/images/clanwars/16000043_magical.png,#35,joker,5802,0,Veterano;
GulfNation™,https://statsroyale.com/images/clanwars/16000043_magical.png,#36,THE KING AIMAN,5684,0,Veterano;
GulfNation™,https://statsroyale.com/images/clanwars/16000043_magical.png,#37,Mahmoud,5636,0,Colíder;
GulfNation™,https://statsroyale.com/images/clanwars/16000043_magical.png,#38,❤General,5624,0,Colíder;
GulfNation™,https://statsroyale.com/images/clanwars/16000043_magical.png,#39,ون بيس,5556,6,Colíder;
GulfNation™,https://statsroyale.com/images/clanwars/16000043_magical.png,#40,☠ℋℯ⍺ℛᎢ ⍺ᎢᎢ⍺ⅽK☣,5540,0,Veterano;
GulfNation™,https://statsroyale.com/images/clanwars/16000043_magical.png,#41,Mohammed H,5514,10,Veterano;
GulfNation™,https://statsroyale.com/images/clanwars/16000043_magical.png,#42,flyrat,5507,0,Veterano;
GulfNation™,https://statsroyale.com/images/clanwars/16000043_magical.png,#43,☆HãrDCòÓrè☆,5423,10,Colíder;
GulfNation™,https://statsroyale.com/images/clanwars/16000043_magical.png,#44,COMMANDER,5394,0,Veterano;
GulfNation™,https://statsroyale.com/images/clanwars/16000043_magical.png,#45,El Rey,5339,0,Veterano;
GulfNation™,https://statsroyale.com/images/clanwars/16000043_magical.png,#46,Feng,5335,0,Veterano;
GulfNation™,https://statsroyale.com/images/clanwars/16000043_magical.png,#47,Foulball,5326,0,Miembro;
GulfNation™,https://statsroyale.com/images/clanwars/16000043_magical.png,#48,Mo❤️oN,5228,8,Colíder;
GulfNation™,https://statsroyale.com/images/clanwars/16000043_magical.png,#49,Whisky,5226,8,Colíder;
GulfNation™,https://statsroyale.com/images/clanwars/16000043_magical.png,#50,Leader,5124,10,Veterano;
上海 OP Elite,https://statsroyale.com/images/clanwars/16000000_magical.png,#1,JohnTan,6536,171,Colíder;
上海 OP Elite,https://statsroyale.com/images/clanwars/16000000_magical.png,#2,Mr.吴,6528,40,Miembro;
上海 OP Elite,https://statsroyale.com/images/clanwars/16000000_magical.png,#3,鱼丸子,6521,100,Veterano;
上海 OP Elite,https://statsroyale.com/images/clanwars/16000000_magical.png,#4,旷性怡情,6505,13,Miembro;
上海 OP Elite,https://statsroyale.com/images/clanwars/16000000_magical.png,#5,曹车夫,6449,42,Miembro;
上海 OP Elite,https://statsroyale.com/images/clanwars/16000000_magical.png,#6,OP_K,6427,24,Miembro;
上海 OP Elite,https://statsroyale.com/images/clanwars/16000000_magical.png,#7,部落丨弱比航空,6353,182,Veterano;
上海 OP Elite,https://statsroyale.com/images/clanwars/16000000_magical.png,#8,JohnTan6,6320,0,Veterano;
上海 OP Elite,https://statsroyale.com/images/clanwars/16000000_magical.png,#9,疯蛙MadFrog,6258,0,Veterano;
上海 OP Elite,https://statsroyale.com/images/clanwars/16000000_magical.png,#10,JohnTan8,6155,0,Veterano;
上海 OP Elite,https://statsroyale.com/images/clanwars/16000000_magical.png,#11,⚽️战神⚽️,6130,213,Veterano;
上海 OP Elite,https://statsroyale.com/images/clanwars/16000000_magical.png,#12,JohnTan9,6127,0,Veterano;
上海 OP Elite,https://statsroyale.com/images/clanwars/16000000_magical.png,#13,不夜城,6127,36,Veterano;
上海 OP Elite,https://statsroyale.com/images/clanwars/16000000_magical.png,#14,金靴内猴,6123,0,Veterano;
上海 OP Elite,https://statsroyale.com/images/clanwars/16000000_magical.png,#15,行者远航,6122,36,Miembro;
上海 OP Elite,https://statsroyale.com/images/clanwars/16000000_magical.png,#16,Night manager,6121,0,Colíder;
上海 OP Elite,https://statsroyale.com/images/clanwars/16000000_magical.png,#17,Daniel,6120,90,Veterano;
上海 OP Elite,https://statsroyale.com/images/clanwars/16000000_magical.png,#18,Huya德古拉的永恒,6118,108,Veterano;
上海 OP Elite,https://statsroyale.com/images/clanwars/16000000_magical.png,#19,ares,6117,49,Veterano;
上海 OP Elite,https://statsroyale.com/images/clanwars/16000000_magical.png,#20,牢骚太盛防肠断、,6117,0,Veterano;
上海 OP Elite,https://statsroyale.com/images/clanwars/16000000_magical.png,#21,☘️芍药❄️姬☘️✔️,6115,20,Veterano;
上海 OP Elite,https://statsroyale.com/images/clanwars/16000000_magical.png,#22,雄赳赳,6114,97,Veterano;
上海 OP Elite,https://statsroyale.com/images/clanwars/16000000_magical.png,#23,JohnTan3,6113,0,Veterano;
上海 OP Elite,https://statsroyale.com/images/clanwars/16000000_magical.png,#24,Caroling,6113,67,Veterano;
上海 OP Elite,https://statsroyale.com/images/clanwars/16000000_magical.png,#25,追风,6113,0,Veterano;
上海 OP Elite,https://statsroyale.com/images/clanwars/16000000_magical.png,#26,肋小板,6112,202,Colíder;
上海 OP Elite,https://statsroyale.com/images/clanwars/16000000_magical.png,#27,Mafuqin Stardog,6111,18,Veterano;
上海 OP Elite,https://statsroyale.com/images/clanwars/16000000_magical.png,#28,༄༺煞༒莫༻༄,6107,0,Miembro;
上海 OP Elite,https://statsroyale.com/images/clanwars/16000000_magical.png,#29,JohnTan4,6106,8,Veterano;
上海 OP Elite,https://statsroyale.com/images/clanwars/16000000_magical.png,#30,航空nova丨Silv3r,6104,0,Veterano;
上海 OP Elite,https://statsroyale.com/images/clanwars/16000000_magical.png,#31,nicici,6104,28,Veterano;
上海 OP Elite,https://statsroyale.com/images/clanwars/16000000_magical.png,#32,雄赳赳,6102,0,Veterano;
上海 OP Elite,https://statsroyale.com/images/clanwars/16000000_magical.png,#33,༄若即若离ཽ,6100,20,Veterano;
上海 OP Elite,https://statsroyale.com/images/clanwars/16000000_magical.png,#34,ray,6097,0,Veterano;
上海 OP Elite,https://statsroyale.com/images/clanwars/16000000_magical.png,#35,⭐️Jackie✨⚡️™,6096,20,Veterano;
上海 OP Elite,https://statsroyale.com/images/clanwars/16000000_magical.png,#36,DEV-Paganicc,6093,0,Veterano;
上海 OP Elite,https://statsroyale.com/images/clanwars/16000000_magical.png,#37,单车,6093,0,Veterano;
上海 OP Elite,https://statsroyale.com/images/clanwars/16000000_magical.png,#38,Arson,6044,60,Veterano;
上海 OP Elite,https://statsroyale.com/images/clanwars/16000000_magical.png,#39,maoshunshou,6043,0,Veterano;
上海 OP Elite,https://statsroyale.com/images/clanwars/16000000_magical.png,#40,nullgo,6038,0,Veterano;
上海 OP Elite,https://statsroyale.com/images/clanwars/16000000_magical.png,#41,tiuimi,6028,28,Veterano;
上海 OP Elite,https://statsroyale.com/images/clanwars/16000000_magical.png,#42,༺安瑾我爱你༻,6022,10,Veterano;
上海 OP Elite,https://statsroyale.com/images/clanwars/16000000_magical.png,#43,Nova l E神,6021,44,Veterano;
上海 OP Elite,https://statsroyale.com/images/clanwars/16000000_magical.png,#44,十年之约diliraba,6014,35,Veterano;
上海 OP Elite,https://statsroyale.com/images/clanwars/16000000_magical.png,#45,志仔,6002,0,Veterano;
上海 OP Elite,https://statsroyale.com/images/clanwars/16000000_magical.png,#46,兵长,5971,30,Veterano;
上海 OP Elite,https://statsroyale.com/images/clanwars/16000000_magical.png,#47,JohnTan7,5936,0,Veterano;
上海 OP Elite,https://statsroyale.com/images/clanwars/16000000_magical.png,#48,TitiTnT,5932,39,Líder;
上海 OP Elite,https://statsroyale.com/images/clanwars/16000000_magical.png,#49,寻找小贝壳,5889,0,Veterano;
上海 OP Elite,https://statsroyale.com/images/clanwars/16000000_magical.png,#50,何小天,5326,0,Miembro;
Q8Team,https://statsroyale.com/images/clanwars/16000044_magical.png,#1,beast,6734,46,Veterano;
Q8Team,https://statsroyale.com/images/clanwars/16000044_magical.png,#2,Eptic,6725,103,Colíder;
Q8Team,https://statsroyale.com/images/clanwars/16000044_magical.png,#3,☠AcMiLaN ☠,6709,0,Colíder;
Q8Team,https://statsroyale.com/images/clanwars/16000044_magical.png,#4,corvtte89,6700,0,Colíder;
Q8Team,https://statsroyale.com/images/clanwars/16000044_magical.png,#5,Eternity™,6670,0,Miembro;
Q8Team,https://statsroyale.com/images/clanwars/16000044_magical.png,#6,RedBull™️,6618,24,Colíder;
Q8Team,https://statsroyale.com/images/clanwars/16000044_magical.png,#7,mars,6612,10,Veterano;
Q8Team,https://statsroyale.com/images/clanwars/16000044_magical.png,#8,mikel04,6608,0,Veterano;
Q8Team,https://statsroyale.com/images/clanwars/16000044_magical.png,#9,RedBull,6601,10,Colíder;
Q8Team,https://statsroyale.com/images/clanwars/16000044_magical.png,#10,Lumiere,6490,186,Veterano;
Q8Team,https://statsroyale.com/images/clanwars/16000044_magical.png,#11,Latini™,6466,20,Colíder;
Q8Team,https://statsroyale.com/images/clanwars/16000044_magical.png,#12,Niclas200,6346,169,Colíder;
Q8Team,https://statsroyale.com/images/clanwars/16000044_magical.png,#13,Latini 4,6341,0,Colíder;
Q8Team,https://statsroyale.com/images/clanwars/16000044_magical.png,#14,Fernando,6277,0,Miembro;
Q8Team,https://statsroyale.com/images/clanwars/16000044_magical.png,#15,☆Yousefq822☆,6244,28,Colíder;
Q8Team,https://statsroyale.com/images/clanwars/16000044_magical.png,#16,yousefq822',6238,30,Veterano;
Q8Team,https://statsroyale.com/images/clanwars/16000044_magical.png,#17,Latini 3,6209,26,Colíder;
Q8Team,https://statsroyale.com/images/clanwars/16000044_magical.png,#18,PaTRoN,6152,0,Miembro;
Q8Team,https://statsroyale.com/images/clanwars/16000044_magical.png,#19,⚡️RedBull⚡️,6077,0,Colíder;
Q8Team,https://statsroyale.com/images/clanwars/16000044_magical.png,#20,falco,5969,25,Veterano;
Q8Team,https://statsroyale.com/images/clanwars/16000044_magical.png,#21,Bu sana 7,5957,73,Veterano;
Q8Team,https://statsroyale.com/images/clanwars/16000044_magical.png,#22,corvtte1™,5956,0,Veterano;
Q8Team,https://statsroyale.com/images/clanwars/16000044_magical.png,#23,Q8Team,5952,24,Líder;
Q8Team,https://statsroyale.com/images/clanwars/16000044_magical.png,#24,Will,5935,10,Veterano;
Q8Team,https://statsroyale.com/images/clanwars/16000044_magical.png,#25,corvtte2™,5915,0,Colíder;
Q8Team,https://statsroyale.com/images/clanwars/16000044_magical.png,#26,Nicolas00,5872,0,Miembro;
Q8Team,https://statsroyale.com/images/clanwars/16000044_magical.png,#27,Toni,5855,0,Colíder;
Q8Team,https://statsroyale.com/images/clanwars/16000044_magical.png,#28,✨RedBull✨,5848,60,Colíder;
Q8Team,https://statsroyale.com/images/clanwars/16000044_magical.png,#29,Abhinay,5845,112,Miembro;
Q8Team,https://statsroyale.com/images/clanwars/16000044_magical.png,#30,Dark Prince,5843,28,Veterano;
Q8Team,https://statsroyale.com/images/clanwars/16000044_magical.png,#31,やみひかり,5819,162,Veterano;
Q8Team,https://statsroyale.com/images/clanwars/16000044_magical.png,#32,わわわ,5814,16,Miembro;
Q8Team,https://statsroyale.com/images/clanwars/16000044_magical.png,#33,abdallahbohamad,5804,8,Colíder;
Q8Team,https://statsroyale.com/images/clanwars/16000044_magical.png,#34,初代サタ,5757,82,Miembro;
Q8Team,https://statsroyale.com/images/clanwars/16000044_magical.png,#35,Sourosh,5733,0,Miembro;
Q8Team,https://statsroyale.com/images/clanwars/16000044_magical.png,#36,ALJASSMY85,5651,121,Veterano;
Q8Team,https://statsroyale.com/images/clanwars/16000044_magical.png,#37,☆Nova I Grey☆,5600,0,Miembro;
Q8Team,https://statsroyale.com/images/clanwars/16000044_magical.png,#38,從小就壞的石頭,5596,14,Veterano;
Q8Team,https://statsroyale.com/images/clanwars/16000044_magical.png,#39,Tommyla,5591,0,Colíder;
Q8Team,https://statsroyale.com/images/clanwars/16000044_magical.png,#40,KaRaR,5423,106,Colíder;
Q8Team,https://statsroyale.com/images/clanwars/16000044_magical.png,#41,bobby6,5405,60,Veterano;
Q8Team,https://statsroyale.com/images/clanwars/16000044_magical.png,#42,faras,5401,18,Colíder;
Q8Team,https://statsroyale.com/images/clanwars/16000044_magical.png,#43,CaptanPrice,5389,0,Colíder;
Q8Team,https://statsroyale.com/images/clanwars/16000044_magical.png,#44,♣ธKญ♣,5312,72,Colíder;
Q8Team,https://statsroyale.com/images/clanwars/16000044_magical.png,#45,Latini 2,5271,40,Colíder;
Q8Team,https://statsroyale.com/images/clanwars/16000044_magical.png,#46,༺༉༼ KaRaR ༽༉༻,5181,60,Colíder;
龍溪CR,https://statsroyale.com/images/clanwars/16000012_magical.png,#1,中國緣 君子好逑,6670,0,Miembro;
龍溪CR,https://statsroyale.com/images/clanwars/16000012_magical.png,#2,水水,6664,0,Miembro;
龍溪CR,https://statsroyale.com/images/clanwars/16000012_magical.png,#3,Meattt24,6659,8,Miembro;
龍溪CR,https://statsroyale.com/images/clanwars/16000012_magical.png,#4,巫少成,6659,64,Miembro;
龍溪CR,https://statsroyale.com/images/clanwars/16000012_magical.png,#5,東摸西摸我摸摸,6645,50,Miembro;
龍溪CR,https://statsroyale.com/images/clanwars/16000012_magical.png,#6,龍溪,6609,18,Colíder;
龍溪CR,https://statsroyale.com/images/clanwars/16000012_magical.png,#7,小陈_Little chen,6572,32,Colíder;
龍溪CR,https://statsroyale.com/images/clanwars/16000012_magical.png,#8,꧁༺婷༒婷༻꧂,6560,0,Colíder;
龍溪CR,https://statsroyale.com/images/clanwars/16000012_magical.png,#9,所追寻的风,6551,0,Colíder;
龍溪CR,https://statsroyale.com/images/clanwars/16000012_magical.png,#10,W. Z. X.,6550,50,Miembro;
龍溪CR,https://statsroyale.com/images/clanwars/16000012_magical.png,#11,Black Kingcrab,6420,8,Miembro;
龍溪CR,https://statsroyale.com/images/clanwars/16000012_magical.png,#12,陈实,6419,0,Colíder;
龍溪CR,https://statsroyale.com/images/clanwars/16000012_magical.png,#13,ༀཧ༽勇士ིོ࿇之城ེོ༼ཉༀ,6272,28,Miembro;
龍溪CR,https://statsroyale.com/images/clanwars/16000012_magical.png,#14,nevi nevi kenli,6224,0,Miembro;
龍溪CR,https://statsroyale.com/images/clanwars/16000012_magical.png,#15,超超,6219,0,Miembro;
龍溪CR,https://statsroyale.com/images/clanwars/16000012_magical.png,#16,秋名山车神,6126,0,Líder;
龍溪CR,https://statsroyale.com/images/clanwars/16000012_magical.png,#17,偶尔坏一下,6105,0,Miembro;
龍溪CR,https://statsroyale.com/images/clanwars/16000012_magical.png,#18,哆啦A梦,6099,0,Miembro;
龍溪CR,https://statsroyale.com/images/clanwars/16000012_magical.png,#19,三三三良,6063,76,Miembro;
龍溪CR,https://statsroyale.com/images/clanwars/16000012_magical.png,#20,椎名真白,6044,118,Veterano;
龍溪CR,https://statsroyale.com/images/clanwars/16000012_magical.png,#21,坑哥,6031,0,Miembro;
龍溪CR,https://statsroyale.com/images/clanwars/16000012_magical.png,#22,京N6DD38,6022,42,Miembro;
龍溪CR,https://statsroyale.com/images/clanwars/16000012_magical.png,#23,古帅,6004,0,Miembro;
龍溪CR,https://statsroyale.com/images/clanwars/16000012_magical.png,#24,小k,6003,0,Miembro;
龍溪CR,https://statsroyale.com/images/clanwars/16000012_magical.png,#25,愚剑问情,5990,0,Veterano;
龍溪CR,https://statsroyale.com/images/clanwars/16000012_magical.png,#26,TMD Larry,5888,0,Miembro;
龍溪CR,https://statsroyale.com/images/clanwars/16000012_magical.png,#27,Tna,5862,0,Miembro;
龍溪CR,https://statsroyale.com/images/clanwars/16000012_magical.png,#28,皮卡土拨,5849,0,Veterano;
龍溪CR,https://statsroyale.com/images/clanwars/16000012_magical.png,#29,英雄放过我吧,5825,62,Miembro;
龍溪CR,https://statsroyale.com/images/clanwars/16000012_magical.png,#30,qiaot,5814,0,Veterano;
龍溪CR,https://statsroyale.com/images/clanwars/16000012_magical.png,#31,紫璇公主,5811,0,Miembro;
龍溪CR,https://statsroyale.com/images/clanwars/16000012_magical.png,#32,长孙cc的迷弟,5808,0,Miembro;
龍溪CR,https://statsroyale.com/images/clanwars/16000012_magical.png,#33,MQ,5803,122,Miembro;
龍溪CR,https://statsroyale.com/images/clanwars/16000012_magical.png,#34,艾瑞克Q,5734,8,Miembro;
龍溪CR,https://statsroyale.com/images/clanwars/16000012_magical.png,#35,只用飞桶火箭就可以推你两遍三星,5706,0,Veterano;
龍溪CR,https://statsroyale.com/images/clanwars/16000012_magical.png,#36,MC Ng,5698,0,Miembro;
龍溪CR,https://statsroyale.com/images/clanwars/16000012_magical.png,#37,老姜地盘,5639,0,Miembro;
龍溪CR,https://statsroyale.com/images/clanwars/16000012_magical.png,#38,Timeless 落尘,5586,20,Miembro;
龍溪CR,https://statsroyale.com/images/clanwars/16000012_magical.png,#39,奔跑吧章鱼丸,5579,24,Veterano;
龍溪CR,https://statsroyale.com/images/clanwars/16000012_magical.png,#40,[email protected]火雨,5555,0,Colíder;
龍溪CR,https://statsroyale.com/images/clanwars/16000012_magical.png,#41,翩若惊鴻照影來,5552,0,Miembro;
龍溪CR,https://statsroyale.com/images/clanwars/16000012_magical.png,#42,隔壁老魏,5520,0,Veterano;
龍溪CR,https://statsroyale.com/images/clanwars/16000012_magical.png,#43,Truman,5510,42,Miembro;
龍溪CR,https://statsroyale.com/images/clanwars/16000012_magical.png,#44,Fanyuanyuan,5502,0,Colíder;
龍溪CR,https://statsroyale.com/images/clanwars/16000012_magical.png,#45,风笑笑ss的救赎,5337,122,Miembro;
