Clan,Puesto,Nombre,Trofeos,Donaciones,Rol
上海 OP Elite,#4,JohnTan,6445,208,Colíder
上海 OP Elite,#5,兵长,6418,196,Veterano
上海 OP Elite,#6,部落丨弱比航空,6353,1112,Veterano
上海 OP Elite,#7,Mr.吴,6323,64,Miembro
上海 OP Elite,#8,JohnTan6,6320,414,Veterano
上海 OP Elite,#9,疯蛙MadFrog,6258,344,Veterano
上海 OP Elite,#10,A k u m a⚡,6228,31,Veterano
上海 OP Elite,#11,JohnTan8,6155,597,Veterano
上海 OP Elite,#12,不夜城,6127,274,Veterano
上海 OP Elite,#13,Daniel,6120,314,Veterano
上海 OP Elite,#14,雄赳赳,6114,700,Veterano
上海 OP Elite,#15,Caroling,6113,301,Veterano
上海 OP Elite,#16,追风,6113,0,Veterano
上海 OP Elite,#17,༄༺煞༒莫༻༄,6107,0,Miembro
上海 OP Elite,#18,雄赳赳,6102,79,Veterano
上海 OP Elite,#19,⚽️战神⚽️,6101,1461,Veterano
上海 OP Elite,#20,ray,6097,102,Veterano
上海 OP Elite,#21,DEV-Paganicc,6093,72,Veterano
上海 OP Elite,#22,单车,6093,20,Veterano
上海 OP Elite,#23,Night manager,6089,60,Colíder
上海 OP Elite,#24,maoshunshou,6043,188,Veterano
上海 OP Elite,#25,nullgo,6038,73,Veterano
上海 OP Elite,#26,航空nova丨Silv3r,6030,196,Veterano
上海 OP Elite,#27,tiuimi,6028,119,Veterano
上海 OP Elite,#28,牢骚太盛防肠断、,6028,112,Veterano
上海 OP Elite,#29,༺安瑾我爱你༻,6022,119,Veterano
上海 OP Elite,#30,Mafuqin Stardog,6021,257,Veterano
上海 OP Elite,#31,Nova l E神,6021,646,Veterano
上海 OP Elite,#32,JohnTan4,6017,308,Veterano
上海 OP Elite,#33,肋小板,6015,256,Colíder
上海 OP Elite,#34,金靴内猴,6011,288,Veterano
上海 OP Elite,#35,༄若即若离ཽ,6011,118,Veterano
上海 OP Elite,#36,JohnTan9,6006,363,Veterano
上海 OP Elite,#37,ares,6005,372,Veterano
上海 OP Elite,#38,nicici,6004,273,Veterano
上海 OP Elite,#39,Huya德古拉的永恒,6001,1097,Veterano
上海 OP Elite,#40,⭐️Jackie✨⚡️™,6001,248,Veterano
上海 OP Elite,#41,JohnTan3,5992,92,Veterano
上海 OP Elite,#42,☘️芍药❄️姬☘️✔️,5990,296,Veterano
上海 OP Elite,#43,TitiTnT,5923,359,Líder
上海 OP Elite,#44,寻找小贝壳,5889,120,Veterano
上海 OP Elite,#45,十年之约diliraba,5861,418,Veterano
上海 OP Elite,#46,志仔,5819,75,Veterano
上海 OP Elite,#47,JohnTan7,5818,155,Veterano
上海 OP Elite,#48,Arson,5804,401,Veterano
上海 OP Elite,#49,JohnTan5,5711,338,Miembro
上海 OP Elite,#50,麦尔斯,5680,197,Veterano
风暴,#1,贾开富,6688,10,Miembro
风暴,#2,大凯文,6650,26,Veterano
风暴,#3,[email protected],6630,110,Miembro
风暴,#4,Lazer,6622,90,Miembro
风暴,#5,lkjhpoiu,6584,398,Miembro
风暴,#6,༉杉ྂ菜包༴࿐,6505,148,Miembro
风暴,#7,行万里路,6504,13,Miembro
风暴,#8,李孝恭,6476,1,Miembro
风暴,#9,sayuri,6471,79,Miembro
风暴,#10,ユイヒイロ,6440,0,Miembro
风暴,#11,issa,6437,44,Miembro
风暴,#12,Best Hunter,6430,0,Miembro
风暴,#13,[email protected],6412,353,Miembro
风暴,#14,Tom.Tang,6410,348,Miembro
风暴,#15,妈妈你别说我小，我会穿衣和洗脚,6409,243,Miembro
风暴,#16,Jess,6402,316,Miembro
风暴,#17,江郎,6215,0,Miembro
风暴,#18,BIG MOM,6190,0,Miembro
风暴,#19,聖經灬輪迴,6176,369,Miembro
风暴,#20,戰神勒勒,6168,356,Veterano
风暴,#21,维奇,6110,0,Miembro
风暴,#22,TMD 小兔子,6102,10,Veterano
风暴,#23,学霸小明,6079,0,Miembro
风暴,#24,朵朵～,6067,0,Miembro
风暴,#25,Fairy Young,6026,10,Miembro
风暴,#26,Rüzgar,6012,30,Miembro
风暴,#27,Tree™⚡️,6007,0,Veterano
风暴,#28,(~•_•~)! : ),5959,18,Miembro
风暴,#29,别闹,5955,40,Miembro
风暴,#30,kidkid,5885,637,Miembro
风暴,#31,李老師,5855,0,Miembro
风暴,#32,☆*:.｡o小孩o｡.:*☆,5823,0,Miembro
风暴,#33,maya凤凰涅槃,5804,0,Miembro
风暴,#34,andy,5802,0,Miembro
风暴,#35,treenewbee,5620,68,Miembro
风暴,#36,YY-love,5510,60,Miembro
风暴,#37,HURMA™,5365,0,Miembro
风暴,#38,银河铁道之夜,5308,0,Miembro
风暴,#39,奸雄,5280,0,Veterano
风暴,#40,杀手安,5213,71,Líder
风暴,#41,Moose™️ 姆斯,5135,0,Miembro
风暴,#42,乃木坂春香,4001,0,Veterano
风暴,#43,银河铁道之夜的baby,4001,0,Miembro
GulfNation™,#1,mansoor,6628,0,Miembro
GulfNation™,#2,RED LucDubs,6607,175,Colíder
GulfNation™,#3,COMMANDER,6498,154,Colíder
GulfNation™,#4,Gustavo,6497,0,Miembro
GulfNation™,#5,The Master,6413,161,Veterano
GulfNation™,#6,Rekkles,6400,20,Miembro
GulfNation™,#7,COMMANDER,6376,307,Veterano
GulfNation™,#8,aLahbabi,6360,825,Líder
GulfNation™,#9,سداح,6357,265,Veterano
GulfNation™,#10,JeffreyLoayza,6311,1251,Colíder
GulfNation™,#11,Licht70,6310,404,Miembro
GulfNation™,#12,soul uae,6307,108,Colíder
GulfNation™,#13,CRiMiNAL,6305,8,Veterano
GulfNation™,#14,Omar BXB,6257,280,Veterano
GulfNation™,#15,Nova I Gunter1™,6249,0,Miembro
GulfNation™,#16,SF I Eduardo✌️,6239,94,Veterano
GulfNation™,#17,keito,6224,1656,Miembro
GulfNation™,#18,ショウヤ(・┰・),6213,0,Miembro
GulfNation™,#19,SMOKE,6209,55,Veterano
GulfNation™,#20,✨♊Rayio♊✨,6192,450,Colíder
GulfNation™,#21,✨Black Wolf✨,6116,10,Miembro
GulfNation™,#22,Abdullah,6110,448,Colíder
GulfNation™,#23,divandi,6107,38,Miembro
GulfNation™,#24,Cevasthiam,6037,28,Miembro
GulfNation™,#25,Albayrak,6028,79,Colíder
GulfNation™,#26,Gustav0,6002,0,Miembro
GulfNation™,#27,War Machine,5925,104,Colíder
GulfNation™,#28,3oss,5916,10,Miembro
GulfNation™,#29,Lord Fercho,5881,20,Veterano
GulfNation™,#30,❤General,5847,8,Colíder
GulfNation™,#31,BoS3ood,5826,350,Veterano
GulfNation™,#32,Revolution,5822,0,Miembro
GulfNation™,#33,hero,5817,394,Miembro
GulfNation™,#34,dareadevil,5806,196,Miembro
GulfNation™,#35,HADI,5801,173,Veterano
GulfNation™,#36,THE KING AIMAN,5648,0,Veterano
GulfNation™,#37,Mahmoud,5570,292,Colíder
GulfNation™,#38,☠ℋℯ⍺ℛᎢ ⍺ᎢᎢ⍺ⅽK☣,5568,193,Veterano
GulfNation™,#39,ون بيس,5528,574,Colíder
GulfNation™,#40,joker,5519,68,Veterano
GulfNation™,#41,Mohammed H,5514,980,Miembro
GulfNation™,#42,☆HãrDCòÓrè☆,5423,63,Miembro
GulfNation™,#43,Feng,5400,1355,Veterano
GulfNation™,#44,COMMANDER,5394,0,Veterano
GulfNation™,#45,flyrat,5382,592,Miembro
GulfNation™,#46,El Rey,5337,228,Veterano
GulfNation™,#47,Foulball,5326,213,Miembro
GulfNation™,#48,Mo❤️oN,5200,355,Colíder
GulfNation™,#49,Whisky,5139,584,Colíder
GulfNation™,#50,Leader,5068,178,Veterano
50 ⭐ Stars™,#1,Shadow,6706,0,Veterano
50 ⭐ Stars™,#2,༺KARMA༻,6555,10,Veterano
50 ⭐ Stars™,#3,☠️LIPEX☠️,6427,48,Veterano
50 ⭐ Stars™,#4,Legendary,6426,40,Veterano
50 ⭐ Stars™,#5,The Ice,6424,120,Veterano
50 ⭐ Stars™,#6,O.o,6422,10,Veterano
50 ⭐ Stars™,#7,yacktonyt,6336,214,Colíder
50 ⭐ Stars™,#8,Soul⚡️,6321,0,Veterano
50 ⭐ Stars™,#9,xabrau,6305,326,Veterano
50 ⭐ Stars™,#10,DRKSHDW⭐️MASSYK,6202,20,Veterano
50 ⭐ Stars™,#11,Inferno97™,6131,521,Veterano
50 ⭐ Stars™,#12,Pop Tiger,6126,149,Veterano
50 ⭐ Stars™,#13,Lucas Hort,6111,80,Veterano
50 ⭐ Stars™,#14,Kamikaze Loko,6107,58,Veterano
50 ⭐ Stars™,#15,TheUnBaD-,6100,582,Veterano
50 ⭐ Stars™,#16,nova ا hi1337,6061,0,Veterano
50 ⭐ Stars™,#17,massyk74,6023,1208,Líder
50 ⭐ Stars™,#18,pedrin,6021,294,Veterano
50 ⭐ Stars™,#19,Ryder 噶饿,6016,0,Colíder
50 ⭐ Stars™,#20,MAKER,6002,70,Veterano
50 ⭐ Stars™,#21,jefferson,5945,70,Veterano
50 ⭐ Stars™,#22,Eros Tornatora,5937,318,Colíder
50 ⭐ Stars™,#23,BARBAFOLTA,5893,250,Veterano
50 ⭐ Stars™,#24,Teo2212,5889,31,Colíder
50 ⭐ Stars™,#25,cicciobbenzina®,5836,1021,Veterano
50 ⭐ Stars™,#26,BrightLight ☀️™,5824,128,Veterano
50 ⭐ Stars™,#27,Rafael,5820,0,Veterano
50 ⭐ Stars™,#28,༄DRKSHDW༄,5818,535,Veterano
50 ⭐ Stars™,#29,Digryno,5811,0,Veterano
50 ⭐ Stars™,#30,maycon,5804,10,Veterano
50 ⭐ Stars™,#31,✴Erik™,5755,0,Veterano
50 ⭐ Stars™,#32,trangugiatore,5740,154,Veterano
50 ⭐ Stars™,#33,lanfra,5716,30,Veterano
50 ⭐ Stars™,#34,Defectum,5714,260,Veterano
50 ⭐ Stars™,#35,hunffers,5713,0,Miembro
50 ⭐ Stars™,#36,#Malvado,5713,10,Veterano
50 ⭐ Stars™,#37,William~*,5712,0,Veterano
50 ⭐ Stars™,#38,⚡Matteo⚡,5672,48,Veterano
50 ⭐ Stars™,#39,EHRMANTRAUT,5659,587,Veterano
50 ⭐ Stars™,#40,PATRICK AGO,5629,1242,Veterano
50 ⭐ Stars™,#41,Gambation,5625,92,Veterano
50 ⭐ Stars™,#42,✌ Gabriel™✌,5611,100,Veterano
50 ⭐ Stars™,#43,fabiax,5609,234,Veterano
50 ⭐ Stars™,#44,Ale,5589,120,Veterano
50 ⭐ Stars™,#45,Aiace4,5589,529,Veterano
50 ⭐ Stars™,#46,GiandoMattoA™️,5588,94,Veterano
50 ⭐ Stars™,#47,mattiaofficial,5583,70,Veterano
50 ⭐ Stars™,#48,xSmokaRei,5516,395,Veterano
50 ⭐ Stars™,#49,Binic_93,5507,320,Veterano
50 ⭐ Stars™,#50,Tartaruga,5504,1141,Veterano
SHURIKEN ✫,#1,MOSBAH,6682,260,Colíder
SHURIKEN ✫,#2,aMzaaaa7,6682,54,Colíder
SHURIKEN ✫,#3,⭐️No One⭐️,6641,48,Colíder
SHURIKEN ✫,#4,Abadii Gamer_Yt,6574,19,Colíder
SHURIKEN ✫,#5,D M A R,6425,84,Colíder
SHURIKEN ✫,#6,HaMza αℓzαняαηι,6350,104,Veterano
SHURIKEN ✫,#7,Aliksa,6346,183,Colíder
SHURIKEN ✫,#8,Thug Life,6343,59,Colíder
SHURIKEN ✫,#9,THE HELL,6302,93,Colíder
SHURIKEN ✫,#10,Bo_Da7im,6268,225,Colíder
SHURIKEN ✫,#11,Assyrian,6250,122,Colíder
SHURIKEN ✫,#12,RuiCosta10,6242,383,Colíder
SHURIKEN ✫,#13,Dr. S3oud,6200,74,Colíder
SHURIKEN ✫,#14,яєℓαx..`♧,6132,52,Colíder
SHURIKEN ✫,#15,7moodxox,6122,81,Colíder
SHURIKEN ✫,#16,༺࿅༼ＴＨＥ ＨＥＬＬ༽࿅༻,5984,218,Colíder
SHURIKEN ✫,#17,AL7ALM,5859,64,Colíder
SHURIKEN ✫,#18,naif,5818,923,Colíder
SHURIKEN ✫,#19,LeGeNd_7moDe,5803,0,Colíder
SHURIKEN ✫,#20,abdo,5801,40,Colíder
SHURIKEN ✫,#21,Darth P.E.K.K.A,5767,30,Colíder
SHURIKEN ✫,#22,UaeStar,5763,0,Colíder
SHURIKEN ✫,#23,⭐️YOUSEF⭐️,5762,0,Colíder
SHURIKEN ✫,#24,Turki,5762,374,Colíder
SHURIKEN ✫,#25,ihab,5745,30,Colíder
SHURIKEN ✫,#26,punisher,5619,1346,Líder
SHURIKEN ✫,#27,sauddash,5592,1015,Colíder
SHURIKEN ✫,#28,abofaris,5563,710,Colíder
SHURIKEN ✫,#29,pride,5552,52,Colíder
SHURIKEN ✫,#30,MoHaMaD,5535,60,Colíder
SHURIKEN ✫,#31,FahadSR,5527,439,Colíder
SHURIKEN ✫,#32,itz_PainZz,5506,0,Colíder
SHURIKEN ✫,#33,ksa.2013,5501,0,Colíder
SHURIKEN ✫,#34,Taha,5476,0,Veterano
SHURIKEN ✫,#35,ASD,5459,49,Colíder
SHURIKEN ✫,#36,SASKEI,5456,278,Colíder
SHURIKEN ✫,#37,Faisal,5452,20,Colíder
SHURIKEN ✫,#38,OMAR,5418,36,Colíder
SHURIKEN ✫,#39,aMzaaaa7❕,5415,299,Colíder
SHURIKEN ✫,#40,NG,5412,578,Colíder
SHURIKEN ✫,#41,Abdullah-1999,5404,0,Colíder
SHURIKEN ✫,#42,HUNTER,5392,390,Colíder
SHURIKEN ✫,#43,x€xSAADx€x,5356,565,Colíder
SHURIKEN ✫,#44,Tiger Tamim,5352,124,Colíder
SHURIKEN ✫,#45,Vu,5286,109,Veterano
SHURIKEN ✫,#46,am3mr,5259,157,Colíder
SHURIKEN ✫,#47,Milin,5255,235,Veterano
SHURIKEN ✫,#48,Ziyad,5249,17,Colíder
SHURIKEN ✫,#49,Tiger,5220,68,Veterano
SHURIKEN ✫,#50,MoHaMaD HeLaL,5182,87,Colíder
⭐Delta Stars⭐,#1,Zub-Zero!,6692,10,Colíder
⭐Delta Stars⭐,#2,Narayan,6606,88,Veterano
⭐Delta Stars⭐,#3,iDelta Force!,6434,116,Líder
⭐Delta Stars⭐,#4,Lion MG,6420,20,Veterano
⭐Delta Stars⭐,#5,Santi Piazza,6418,226,Veterano
⭐Delta Stars⭐,#6,Nova | Andy,6409,0,Colíder
⭐Delta Stars⭐,#7,⭐DeltaIsGod⭐,6285,326,Colíder
⭐Delta Stars⭐,#8,GerasRepXD,6269,1264,Colíder
⭐Delta Stars⭐,#9,Edwin;),6216,0,Colíder
⭐Delta Stars⭐,#10,Alain,6202,184,Colíder
⭐Delta Stars⭐,#11,EduardoValdéz,6201,40,Miembro
⭐Delta Stars⭐,#12,Nova I Hannibal,6154,0,Miembro
⭐Delta Stars⭐,#13,jorgeDelaGarza,6131,0,Miembro
⭐Delta Stars⭐,#14,Coldplay_Ram40,6104,78,Miembro
⭐Delta Stars⭐,#15,Slendy,6066,146,Miembro
⭐Delta Stars⭐,#16,FRAXUSIO,6023,46,Colíder
⭐Delta Stars⭐,#17,[ BLACK STORM ],6010,828,Colíder
⭐Delta Stars⭐,#18,stanislov,6009,40,Miembro
⭐Delta Stars⭐,#19,José DavidGui7,6000,0,Veterano
⭐Delta Stars⭐,#20,Mr. ✌,5965,520,Veterano
⭐Delta Stars⭐,#21,sacri,5960,298,Veterano
⭐Delta Stars⭐,#22,•Heisenberg•,5951,20,Colíder
⭐Delta Stars⭐,#23,#Roman#,5950,0,Miembro
⭐Delta Stars⭐,#24,#Maroo,5949,0,Miembro
⭐Delta Stars⭐,#25,zSapoPvPYoutube,5939,0,Miembro
⭐Delta Stars⭐,#26,╥﹏╥☆Mathias☆╥﹏╥,5931,0,Miembro
⭐Delta Stars⭐,#27,NESWC390,5921,166,Colíder
⭐Delta Stars⭐,#28,WilliamLopez94,5912,70,Miembro
⭐Delta Stars⭐,#29,Maick,5904,406,Miembro
⭐Delta Stars⭐,#30,marco,5900,1136,Veterano
⭐Delta Stars⭐,#31,linken,5899,18,Veterano
⭐Delta Stars⭐,#32,marcosalan25,5829,108,Veterano
⭐Delta Stars⭐,#33,•César7•,5825,10,Miembro
⭐Delta Stars⭐,#34,Replay97™,5823,88,Colíder
⭐Delta Stars⭐,#35,GARY AE,5814,0,Colíder
⭐Delta Stars⭐,#36,Notorious Diego,5813,20,Miembro
⭐Delta Stars⭐,#37,Dark™,5808,0,Colíder
⭐Delta Stars⭐,#38,FerchoA7,5807,82,Miembro
⭐Delta Stars⭐,#39,⭐️Sebas49⭐️,5806,78,Colíder
⭐Delta Stars⭐,#40,Gomez™,5796,66,Miembro
⭐Delta Stars⭐,#41,Muerte blanca,5736,338,Miembro
⭐Delta Stars⭐,#42,Uttermann,5716,41,Miembro
⭐Delta Stars⭐,#43,⛎SweetKing⛎,5690,134,Miembro
⭐Delta Stars⭐,#44,Crisz,5683,128,Miembro
⭐Delta Stars⭐,#45,Christian☄️,5614,50,Miembro
⭐Delta Stars⭐,#46,BigJony,5609,621,Miembro
⭐Delta Stars⭐,#47,⚔Trébol Loco⚔,5598,260,Colíder
Illuminati,#1,笨笨六の国宝熊猫王,6657,0,Colíder
Illuminati,#2,⭐️Thousand⭐️,6604,0,Miembro
Illuminati,#3,R-V星星V的小号,6564,0,Veterano
Illuminati,#4,★蛋蛋HJY,6523,81,Colíder
Illuminati,#5,arktomson,6509,20,Colíder
Illuminati,#6,無課金やり込み部隊,6346,148,Veterano
Illuminati,#7,小心,6335,38,Colíder
Illuminati,#8,三十五大叔,6295,128,Veterano
Illuminati,#9,Beezy,6256,226,Colíder
Illuminati,#10,Avis88,6255,146,Colíder
Illuminati,#11,Heart Boy™,6238,849,Veterano
Illuminati,#12,yaiba,6194,30,Veterano
Illuminati,#13,熊猫,6184,1086,Veterano
Illuminati,#14,RautenMiro,6153,160,Veterano
Illuminati,#15,霸天,6120,18,Veterano
Illuminati,#16,用心挑战可爱对手,6114,296,Líder
Illuminati,#17,下雨天,6106,650,Veterano
Illuminati,#18,Fish,6071,48,Veterano
Illuminati,#19,没有举报就没有伤害,6011,446,Veterano
Illuminati,#20,꧁༺两见钟情༻꧂,5944,435,Veterano
Illuminati,#21,Kevin LIU,5935,70,Colíder
Illuminati,#22,催眠小明,5926,253,Veterano
Illuminati,#23,ぶちょー,5880,10,Veterano
Illuminati,#24,big,5856,0,Veterano
Illuminati,#25,LEE'S CASTLE,5842,274,Veterano
Illuminati,#26,霍金斯,5837,0,Veterano
Illuminati,#27,部落丨银色夜舞航空,5836,0,Colíder
Illuminati,#28,就愛海尼根,5797,21,Veterano
Illuminati,#29,笑傲江湖,5758,373,Veterano
Illuminati,#30,SloveNtz,5756,78,Veterano
Illuminati,#31,小豹,5717,100,Veterano
Illuminati,#32,neo,5655,36,Colíder
Illuminati,#33,Joe,5610,477,Colíder
Illuminati,#34,Cytus I NEKO,5525,20,Veterano
Illuminati,#35,韩寒寒,5508,303,Veterano
Illuminati,#36,Nick,5507,0,Veterano
Illuminati,#37,踏雪寻梅,5494,0,Veterano
Illuminati,#38,pengpengcrab,5448,851,Veterano
Illuminati,#39,Zangado,5376,0,Veterano
Illuminati,#40,moon,5324,471,Veterano
Illuminati,#41,超级战皇S,5211,124,Veterano
Illuminati,#42,♥︎SS♥︎,5054,1241,Colíder
Deep swamp,#1,SHOU,6664,0,Colíder
Deep swamp,#2,天ぷら,6481,20,Colíder
Deep swamp,#3,NOVA l Teti,6418,403,Colíder
Deep swamp,#4,JACK,6417,10,Veterano
Deep swamp,#5,Nova I Revive,6412,54,Veterano
Deep swamp,#6,きゃら,6411,0,Veterano
Deep swamp,#7,たーけん,6219,585,Veterano
Deep swamp,#8,ryota,6215,10,Veterano
Deep swamp,#9,広瀬アリス,6211,0,Veterano
Deep swamp,#10,Master Yu™,6162,136,Veterano
Deep swamp,#11,バタ,6087,586,Veterano
Deep swamp,#12,Deep l Joker.,6080,488,Líder
Deep swamp,#13,くろひげ,6016,1336,Veterano
Deep swamp,#14,けぇむ,6005,66,Veterano
Deep swamp,#15,パリサンジェルマン,5968,540,Veterano
Deep swamp,#16,July,5964,0,Veterano
Deep swamp,#17,いちご大福大佐,5913,10,Veterano
Deep swamp,#18,チン,5908,90,Veterano
Deep swamp,#19,Ｋo-ki.,5895,0,Veterano
